id,title,reviews
31127,Шербет,"[['169763', '10'], ['28845', '5.0'], ['158604', '6.7'], ['154953', '8.3'], ['153791', '8.3'], ['152695', '9.0'], ['152326', '7.3'], ['152325', '8.7'], ['151208', '7.7'], ['151204', '8.0'], ['110437', '6.7'], ['154954', '9.0'], ['141504', '8.3'], ['117282', '8.3'], ['117205', '7.7'], ['117095', '7.7'], ['90697', '9.0'], ['90222', '8.3']]"
35501,1929,"[['189766', '2.3'], ['175379', '8.7'], ['173123', '1.0'], ['110704', '1.0'], ['101759', '9.7'], ['101770', '9.7'], ['101792', '7.7'], ['101765', '9.0'], ['101757', '10']]"
30507,Бардак,"[['184346', '3.7'], ['166357', '1.0'], ['151060', '10'], ['86733', '8.3'], ['85864', '10'], ['86605', '9.3'], ['86633', '8.0'], ['85813', '9.3']]"
35150,Dolce,"[['137731', '10'], ['106721', '3.0'], ['89542', '8.7'], ['89266', '8.7']]"
33959,Калужская застава,"[['189670', '10'], ['174847', '2.7'], ['146481', '10'], ['147324', '10'], ['160289', '1.0'], ['160272', '10'], ['160270', '10'], ['160268', '2.0'], ['160219', '10'], ['155824', '10'], ['157857', '1.0'], ['154234', '3.0'], ['154135', '2.7'], ['140838', '10'], ['140239', '10'], ['114969', '8.0'], ['115704', '8.3'], ['114940', '8.0'], ['101792', '8.7'], ['114866', '7.7']]"
35336,Галерея,"[['118044', '7.0'], ['141541', '9.7'], ['140898', '7.7'], ['133891', '8.7'], ['140842', '8.0']]"
32421,Виноградник,"[['109348', '4.0'], ['96094', '10'], ['89324', '8.7'], ['89187', '7.7']]"
34635,Алло! Пицца,"[['198024', '10'], ['150025', '6.7'], ['137900', '10'], ['136099', '9.3'], ['123565', '10'], ['122245', '9.0'], ['116590', '10']]"
34381,Аврора,"[['114866', '8.0'], ['116687', '7.3'], ['101790', '7.7'], ['116504', '7.3'], ['116426', '7.7']]"
42135,Yura,"[['198912', '8.7'], ['177946', '10'], ['171509', '8.3'], ['161418', '8.3'], ['160849', '9.7'], ['158227', '1.0'], ['124339', '2.7']]"
31355,Чердак,"[['148263', '7.7'], ['148237', '7.7'], ['87172', '8.0'], ['86973', '6.7'], ['84344', '8.0']]"
37591,Николина Гора,"[['123129', '3.0'], ['86751', '9.3'], ['86744', '9.0'], ['86732', '9.0'], ['86583', '8.0']]"
32456,Русское подворье,"[['120468', '7.3'], ['120687', '8.0'], ['119774', '7.0'], ['99392', '5.0'], ['90688', '10']]"
30743,La Marée,"[['154820', '9.0'], ['154819', '9.0'], ['152318', '9.3'], ['151842', '7.3'], ['152208', '7.7'], ['151845', '7.7'], ['151835', '8.0'], ['152334', '8.7'], ['149267', '8.3'], ['149268', '8.3'], ['149270', '8.7'], ['110423', '8.0'], ['149266', '8.3'], ['85813', '10']]"
30696,Parisienne,"[['185867', '1.0'], ['104244', '9.0'], ['114459', '8.0'], ['117873', '8.7'], ['118233', '9.0'], ['118234', '9.0']]"
